Napoleon,1805,18
Billy The Kid,1879,24
Socrates,-410,29
The Princesses,1600,31
Sigmund Freud,1901,47
Beethoven,1810,48
Joan of Arc,1429,50
Genghis Khan,1209,50
Abraham Lincoln,1863,51
Bill's House,1988,75
History Report,1988,93
